# Generated by swift-symbols-generate from SF Symbols 2026, macOS build 26A428. Do not edit.
whatsnew	sparkles
draw	scribble
variable	slider.horizontal.below.square.and.square.filled
multicolor	paintpalette
communication	message
weather	cloud.sun
maps	map
objectsandtools	folder
devices	desktopcomputer
cameraandphotos	camera
gaming	gamecontroller
connectivity	antenna.radiowaves.left.and.right
transportation	car.fill
automotive	steeringwheel
accessibility	accessibility
privacyandsecurity	lock
human	person.crop.circle
home	house
fitness	figure.run
nature	leaf
editing	slider.horizontal.3
textformatting	textformat
media	playpause
keyboard	command
commerce	cart
time	timer
health	heart
shapes	square.on.circle
arrows	arrow.forward
indices	a.circle
math	radicand.squareroot
